Ref,Pr ,Ra,Nu,Re,Aspect_ratio,Shape,Boundary_conditions,
,0.72,1.44E+11,336.87,,0.61,3,0,
,0.72,1.23E+11,321.58,,0.61,3,0,
,0.72,2.17E+11,396.48,,0.61,3,0,
,0.72,2.36E+11,420.7,,0.61,3,0,
,0.72,3.25E+11,444.55,,0.61,3,0,
,0.72,4.06E+11,498.43,,0.61,3,0,
,0.72,2.40E+11,398.64,,0.61,3,0,
,0.72,1.67E+11,352.71,,0.61,3,0,
,0.72,2.11E+11,395.29,,0.61,3,0,
,0.72,1.52E+11,345.24,,0.61,3,0,
,0.72,1.17E+11,313.49,,0.61,3,0,
,0.72,8.84E+10,284.73,,0.61,3,0,
,0.72,3.55E+11,466.34,,0.61,3,0,
Ref-17,0.7,1.00E+07,17.08,,0.5,0,1,
,0.7,1.00E+07,16.73,,1,0,1,
,0.7,1.00E+07,16.37,,1.5,0,1,
,0.7,1.00E+07,16.11,,1.75,0,1,
,0.7,1.00E+07,15.88,,2,0,1,
,0.7,1.00E+07,15.97,,2.25,0,1,
,0.7,1.00E+07,15.77,,2.5,0,1,
,0.7,1.00E+07,15.97,,2.75,0,1,
,0.7,1.00E+07,16.06,,3,0,1,
,0.7,1.00E+07,16.22,,4,0,1,
,0.7,1.00E+07,16.66,,6,0,1,
,0.7,1.00E+07,17.44,,8,0,1,
,0.7,1.00E+07,17.34,,10,0,1,
,0.7,1.00E+07,17.49,,12,0,1,
,0.7,5.00E+07,26.2,,0.5,0,1,
,0.7,5.00E+07,25.86,,1,0,1,
,0.7,5.00E+07,25.83,,2,0,1,
,0.7,5.00E+07,25.9,,3,0,1,
,0.7,1.00E+08,32.06,,0.5,0,1,
,0.7,1.00E+08,32.21,,1,0,1,
,0.7,1.00E+08,31.77,,1.25,0,1,
,0.7,1.00E+08,31.39,,1.5,0,1,
,0.7,1.00E+08,31.57,,1.75,0,1,
,0.7,1.00E+08,31.25,,2,0,1,
,0.7,1.00E+08,31.25,,2.25,0,1,
,0.7,1.00E+08,31.87,,2.5,0,1,
,0.7,1.00E+08,32.34,,2.75,0,1,
,0.7,1.00E+08,32.29,,3,0,1,
,0.7,1.00E+08,33.2,,4,0,1,
,0.7,1.00E+08,34.78,,8,0,1,
,0.7,1.00E+09,63.67,,0.5,0,1,
,0.7,1.00E+09,64.31,,1,0,1,
,0.7,1.00E+09,63.25,,2,0,1,
,0.7,1.00E+09,65.11,,3,0,1,
Ref-18,0.7335,1.85E+06,8.87,,10,0,0,
,0.7421,3.25E+06,10.39,,10,0,0,
,0.7454,6.14E+06,12.8,,10,0,0,
,0.7494,8.77E+06,14.33,,10,0,0,
,0.7568,1.05E+09,14.83,,10,0,0,
